｜-00:18:54｜｜¥10,000｜UCX3Xp4VaCZ_vcQipyZFJjSw｜適当視聴者｜いつもアーカイブ拝見してます　マイクラ楽しみにしてます
｜00:40:57｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:41:28｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:41:54｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:42:20｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:42:45｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:44:50｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:45:32｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:46:16｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:46:47｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:47:21｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:47:46｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:48:10｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:48:34｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:49:43｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:50:10｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:50:45｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:51:39｜New member｜NT$15.00｜UC_xiV7EddeBJKHYwnuPCFXg｜乄sinro ☣️冷非顏☣️乄消失中｜
｜00:52:30｜Member (2 months)｜¥200｜UC8QRqxwqTnA7EqNMhOa07Tw｜凱カイKingxLao｜１マグマ、２マグマ、３マグマ、4マグマい、５マグまいかわいい、６まいかわいい、結論：まいかわいい
｜00:55:02｜Member (1 year)｜NT$30.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜ima
｜00:56:39｜Member (1 year)｜NT$15.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜
｜00:57:19｜Member (1 year)｜NT$15.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜
｜00:57:29｜Member (1 year)｜ARS 20.00｜UCh9SGrpvyDngS7KLSbFIiIg｜GenghiSky💗🥄まい姫お誕生日おめでとう｜こんまい〜只今退勤して家に帰りました〜
｜01:03:49｜Member (1 year)｜NT$15.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜
｜01:07:38｜Member (1 year)｜NT$30.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜みーずー
｜01:44:11｜Member (2 months)｜¥200｜UC8QRqxwqTnA7EqNMhOa07Tw｜凱カイKingxLao｜かわいい、我もかんちゃたけと、切り抜き素材獲得（メモ
｜01:46:02｜Member (1 year)｜NT$75.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜今でしょう！？
｜01:51:18｜Member (1 year)｜NT$15.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜
｜02:13:23｜Member (2 months)｜SEK 50.00｜UCq4fxTeja3ac6SVM_F5pOYg｜ManaAlchemist｜こんばんは~:_ハート::_ハート::_ハート:
｜02:20:55｜Member (1 year)｜NT$15.00｜UCa5dFpxhkbhYRavOO8mpVFw｜なす｜
